Date,Open,High,Close,Target_5min,Target_1hour,Target_1day
2023-12-01 06:25:00,1.0,1.0,1.0,0.0,145.0,3467.0
2023-12-01 06:30:00,1.0,1.0,1.0,0.0,176.0,3467.0
2023-12-01 06:35:00,1.0,1.0,1.0,0.0,210.0,3467.0
2023-12-01 06:40:00,1.0,1.0,1.0,1.0,245.0,3468.0
2023-12-01 06:45:00,1.0,1.0,1.0,2.0,264.0,3470.0
2023-12-01 06:50:00,2.0,1.0,1.0,5.0,300.0,3470.0
2023-12-01 06:55:00,5.0,2.0,1.0,15.0,319.0,3470.0
2023-12-01 07:00:00,15.0,5.0,2.0,6.0,322.0,3459.0
2023-12-01 07:05:00,6.0,15.0,5.0,14.0,336.0,3471.0
2023-12-01 07:10:00,14.0,6.0,15.0,20.0,338.0,3472.0
2023-12-01 07:15:00,20.0,14.0,6.0,41.0,319.0,3475.0
2023-12-01 07:20:00,41.0,20.0,14.0,41.0,286.0,3465.0
2023-12-01 07:25:00,41.0,41.0,20.0,31.0,282.0,3459.0
2023-12-01 07:30:00,31.0,41.0,41.0,34.0,272.0,3452.0
2023-12-01 07:35:00,34.0,31.0,41.0,35.0,253.0,3446.0
2023-12-01 07:40:00,35.0,34.0,31.0,20.0,253.0,3434.0
2023-12-01 07:45:00,20.0,35.0,34.0,38.0,253.0,3429.0
2023-12-01 07:50:00,38.0,20.0,35.0,24.0,241.0,3423.0
2023-12-01 07:55:00,24.0,38.0,20.0,18.0,232.0,3429.0
2023-12-01 08:00:00,18.0,24.0,38.0,20.0,233.0,3435.0
2023-12-01 08:05:00,20.0,18.0,24.0,16.0,240.0,3441.0
2023-12-01 08:10:00,16.0,20.0,18.0,1.0,258.0,3462.0
2023-12-01 08:15:00,1.0,16.0,20.0,8.0,289.0,3498.0
2023-12-01 08:20:00,8.0,1.0,16.0,37.0,311.0,3512.0
2023-12-01 08:25:00,37.0,8.0,1.0,21.0,306.0,3504.0
2023-12-01 08:30:00,21.0,37.0,8.0,15.0,320.0,3507.0
2023-12-01 08:35:00,15.0,21.0,37.0,35.0,334.0,3527.0
2023-12-01 08:40:00,35.0,15.0,21.0,20.0,324.0,3525.0
2023-12-01 08:45:00,20.0,35.0,15.0,26.0,327.0,3521.0
2023-12-01 08:50:00,26.0,20.0,35.0,15.0,326.0,3534.0
2023-12-01 08:55:00,15.0,26.0,20.0,19.0,355.0,3558.0
2023-12-01 09:00:00,19.0,15.0,26.0,27.0,371.0,3571.0
2023-12-01 09:05:00,27.0,19.0,15.0,34.0,370.0,3576.0
2023-12-01 09:10:00,34.0,27.0,19.0,32.0,363.0,3570.0
2023-12-01 09:15:00,32.0,34.0,27.0,30.0,357.0,3574.0
2023-12-01 09:20:00,30.0,32.0,34.0,32.0,366.0,3587.0
2023-12-01 09:25:00,32.0,30.0,32.0,35.0,372.0,3582.0
2023-12-01 09:30:00,35.0,32.0,30.0,29.0,373.0,3586.0
2023-12-01 09:35:00,29.0,35.0,32.0,25.0,371.0,3592.0
2023-12-01 09:40:00,25.0,29.0,35.0,23.0,373.0,3606.0
2023-12-01 09:45:00,23.0,25.0,29.0,25.0,382.0,3615.0
2023-12-01 09:50:00,25.0,23.0,25.0,44.0,390.0,3622.0
2023-12-01 09:55:00,44.0,25.0,23.0,35.0,380.0,3612.0
2023-12-01 10:00:00,35.0,44.0,25.0,26.0,378.0,3603.0
2023-12-01 10:05:00,26.0,35.0,44.0,27.0,398.0,3620.0
2023-12-01 10:10:00,27.0,26.0,35.0,26.0,408.0,3618.0
2023-12-01 10:15:00,26.0,27.0,26.0,39.0,410.0,3621.0
2023-12-01 10:20:00,39.0,26.0,27.0,38.0,406.0,3623.0
2023-12-01 10:25:00,38.0,39.0,26.0,36.0,400.0,3619.0
