Date,Open,High,Close,Target_5min,Target_1hour,Target_1day
2023-12-01 00:15:00,5.0,6.0,3.0,2.0,19.0,3095.0
2023-12-01 00:20:00,2.0,5.0,6.0,1.0,17.0,3093.0
2023-12-01 00:25:00,1.0,2.0,5.0,2.0,18.0,3095.0
2023-12-01 00:30:00,2.0,1.0,2.0,1.0,18.0,3094.0
2023-12-01 00:35:00,1.0,2.0,1.0,2.0,18.0,3095.0
2023-12-01 00:40:00,2.0,1.0,2.0,0.0,18.0,3094.0
2023-12-01 00:45:00,1.0,2.0,1.0,1.0,19.0,3095.0
2023-12-01 00:50:00,1.0,1.0,2.0,1.0,21.0,3095.0
2023-12-01 00:55:00,1.0,1.0,1.0,2.0,21.0,3095.0
2023-12-01 01:00:00,2.0,1.0,1.0,2.0,19.0,3094.0
2023-12-01 01:05:00,2.0,2.0,1.0,3.0,17.0,3092.0
2023-12-01 01:10:00,3.0,2.0,2.0,2.0,16.0,3090.0
2023-12-01 01:15:00,2.0,3.0,2.0,0.0,15.0,3089.0
2023-12-01 01:20:00,1.0,2.0,3.0,2.0,16.0,3090.0
2023-12-01 01:25:00,2.0,1.0,2.0,2.0,15.0,3088.0
2023-12-01 01:30:00,2.0,2.0,1.0,1.0,14.0,3087.0
2023-12-01 01:35:00,1.0,2.0,2.0,2.0,14.0,3086.0
2023-12-01 01:40:00,2.0,1.0,2.0,1.0,12.0,3084.0
2023-12-01 01:45:00,1.0,2.0,1.0,3.0,13.0,3083.0
2023-12-01 01:50:00,3.0,1.0,2.0,1.0,15.0,3082.0
2023-12-01 01:55:00,1.0,3.0,1.0,0.0,16.0,3084.0
2023-12-01 02:00:00,1.0,1.0,3.0,0.0,16.0,3084.0
2023-12-01 02:05:00,1.0,1.0,1.0,2.0,18.0,3087.0
2023-12-01 02:10:00,2.0,1.0,1.0,1.0,17.0,3087.0
2023-12-01 02:15:00,1.0,2.0,1.0,1.0,16.0,3086.0
2023-12-01 02:20:00,1.0,1.0,2.0,1.0,16.0,3086.0
2023-12-01 02:25:00,1.0,1.0,1.0,1.0,17.0,3085.0
2023-12-01 02:30:00,1.0,1.0,1.0,1.0,16.0,3085.0
2023-12-01 02:35:00,1.0,1.0,1.0,0.0,16.0,3084.0
2023-12-01 02:40:00,1.0,1.0,1.0,2.0,16.0,3084.0
2023-12-01 02:45:00,2.0,1.0,1.0,5.0,15.0,3082.0
2023-12-01 02:50:00,5.0,2.0,1.0,2.0,12.0,3079.0
2023-12-01 02:55:00,2.0,5.0,2.0,0.0,11.0,3078.0
2023-12-01 03:00:00,1.0,2.0,5.0,2.0,13.0,3079.0
2023-12-01 03:05:00,2.0,1.0,2.0,1.0,12.0,3077.0
2023-12-01 03:10:00,1.0,2.0,1.0,0.0,12.0,3079.0
2023-12-01 03:15:00,1.0,1.0,2.0,1.0,15.0,3079.0
2023-12-01 03:20:00,1.0,1.0,1.0,2.0,14.0,3078.0
2023-12-01 03:25:00,2.0,1.0,1.0,0.0,13.0,3076.0
2023-12-01 03:30:00,1.0,2.0,1.0,1.0,14.0,3078.0
2023-12-01 03:35:00,1.0,1.0,2.0,0.0,17.0,3080.0
2023-12-01 03:40:00,1.0,1.0,1.0,1.0,20.0,3081.0
2023-12-01 03:45:00,1.0,1.0,1.0,2.0,22.0,3083.0
2023-12-01 03:50:00,2.0,1.0,1.0,1.0,20.0,3082.0
2023-12-01 03:55:00,1.0,2.0,1.0,2.0,21.0,3082.0
2023-12-01 04:00:00,2.0,1.0,2.0,1.0,19.0,3080.0
2023-12-01 04:05:00,1.0,2.0,1.0,1.0,18.0,3079.0
2023-12-01 04:10:00,1.0,1.0,2.0,3.0,19.0,3079.0
2023-12-01 04:15:00,3.0,1.0,1.0,0.0,19.0,3077.0
2023-12-01 04:20:00,1.0,3.0,1.0,1.0,23.0,3079.0
2023-12-01 04:25:00,1.0,1.0,3.0,1.0,25.0,3079.0
2023-12-01 04:30:00,1.0,1.0,1.0,4.0,27.0,3080.0
2023-12-01 04:35:00,4.0,1.0,1.0,3.0,25.0,3077.0
2023-12-01 04:40:00,3.0,4.0,1.0,3.0,26.0,3076.0
2023-12-01 04:45:00,3.0,3.0,4.0,0.0,26.0,3074.0
2023-12-01 04:50:00,1.0,3.0,3.0,2.0,29.0,3075.0
2023-12-01 04:55:00,2.0,1.0,3.0,0.0,31.0,3074.0
2023-12-01 05:00:00,1.0,2.0,1.0,0.0,35.0,3075.0
2023-12-01 05:05:00,1.0,1.0,2.0,2.0,36.0,3077.0
2023-12-01 05:10:00,2.0,1.0,1.0,3.0,37.0,3075.0
2023-12-01 05:15:00,3.0,2.0,1.0,4.0,37.0,3074.0
2023-12-01 05:20:00,4.0,3.0,2.0,3.0,36.0,3072.0
2023-12-01 05:25:00,3.0,4.0,3.0,3.0,38.0,3071.0
2023-12-01 05:30:00,3.0,3.0,4.0,2.0,40.0,3068.0
2023-12-01 05:35:00,2.0,3.0,3.0,4.0,50.0,3069.0
2023-12-01 05:40:00,4.0,2.0,3.0,3.0,54.0,3067.0
2023-12-01 05:45:00,3.0,4.0,2.0,3.0,61.0,3068.0
2023-12-01 05:50:00,3.0,3.0,4.0,4.0,66.0,3068.0
2023-12-01 05:55:00,4.0,3.0,3.0,4.0,77.0,3065.0
