GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109155640784,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:00:06,1705248006000,02,小型汽车,苏C7P***,现代
G320300109155640855,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:00:10,1705248010000,01,大型汽车,苏NCX***,福田
G320300109155640937,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:00:14,1705248014000,01,大型汽车,鲁Q25***,东风
G320300109155641042,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:00:19,1705248019000,01,大型汽车,鲁UV5***,东风
G320300109155641251,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:00:29,1705248029000,01,大型汽车,皖LD8***,华泰
G320300109155641578,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-15 00:00:44,1705248044000,02,小型汽车,皖LT6***,未知
G320300109155641696,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-15 00:00:49,1705248049000,02,小型汽车,苏C3J***,未知
G320300109155641976,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-15 00:00:54,1705248054000,02,小型汽车,苏C77***,大众
G320300109155641790,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:00:55,1705248055000,02,小型汽车,苏U36***,斯柯达
G320300109155642028,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-15 00:01:13,1705248073000,02,小型汽车,苏C98***,未知
G320300109155642289,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-15 00:01:17,1705248077000,02,小型汽车,苏N51***,江淮
G320300109155643208,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:02:04,1705248124000,01,大型汽车,鲁Q83***,东风
G320300109155643027,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-15 00:02:05,1705248125000,02,小型汽车,鲁HQ5***,大众
G320300109155643613,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-15 00:02:20,1705248140000,02,小型汽车,苏N01***,比亚迪
G320300109155643697,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-15 00:02:23,1705248143000,52,教练车,苏CF6***,未知
G320300109155643830,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-15 00:02:30,1705248150000,52,教练车,苏CDK***,宝马
G320300109155643905,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:02:40,1705248160000,01,大型汽车,鲁Q82***,未知
G320300109155644030,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-15 00:02:46,1705248166000,02,小型汽车,苏C18***,未知
G320300109155644022,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:02:46,1705248166000,01,大型汽车,鲁V32***,雷诺
G320300109155644120,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:02:51,1705248171000,01,大型汽车,鲁Q37***,东风
G320300109155644196,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:02:54,1705248174000,01,大型汽车,鲁Q19***,福田
G320300109155644322,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-15 00:02:55,1705248175000,02,小型汽车,苏N33***,英菲尼迪
G320300109155644296,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-15 00:02:59,1705248179000,02,小型汽车,皖A09***,未知
G320300109155644399,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-15 00:02:59,1705248179000,02,小型汽车,苏C9A***,未知
G320300109155644284,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-15 00:02:59,1705248179000,01,大型汽车,鲁Q72***,一汽
G320300109155644305,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-15 00:03:00,1705248180000,02,小型汽车,皖L26***,丰田
G320300109155644456,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-15 00:03:08,1705248188000,02,小型汽车,苏C60***,未知
G320300109155645361,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-15 00:03:46,1705248226000,01,大型汽车,苏CGE***,未知
G320300109155645263,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-15 00:03:53,1705248233000,02,小型汽车,苏C0Q***,斯达泰克
G320300109155646146,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-15 00:04:08,1705248248000,02,小型汽车,苏C8F***,比亚迪
G320300109155645779,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2024-01-15 00:04:09,1705248249000,52,教练车,苏CDD***,哈弗
