GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109089616763,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-08 00:00:08,1704643208000,02,小型汽车,苏C07***,大众
G320300109089616768,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-08 00:00:09,1704643209000,02,小型汽车,苏C07***,大众
G320300109089616355,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-08 00:00:19,1704643219000,01,大型汽车,鲁Q02***,福田
G320300109089617023,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-08 00:00:26,1704643226000,02,小型汽车,豫JD6***,一汽
G320300109089617088,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-08 00:00:27,1704643227000,02,小型汽车,苏E95***,宝马
G320300109089616562,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-08 00:00:29,1704643229000,01,大型汽车,豫NJ9***,福田
G320300109089617285,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-08 00:00:37,1704643237000,01,大型汽车,苏NDD***,东风
G320300109089616872,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-08 00:00:43,1704643243000,02,小型汽车,苏NQ0***,福田
G320300109089617000,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2024-01-08 00:00:51,1704643251000,02,小型汽车,苏C96***,未知
G320300109089617281,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-08 00:01:06,1704643266000,01,大型汽车,苏CST***,福田
