GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
F120300109071161523,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-06 20:01:11,1704542471000,52,教练车,苏CDD***,未知
F120300109071161424,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-06 20:01:12,1704542472000,2,小型汽车,苏CT5***,名爵
F120300109071162029,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-06 20:01:12,1704542472000,2,小型汽车,皖LZQ***,江淮
F120300109071161746,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 20:01:13,1704542473000,2,小型汽车,苏N18***,沃尔沃
F120300109071162064,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 20:01:16,1704542476000,2,小型汽车,苏CWQ***,五菱
F120300109071162397,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 20:01:19,1704542479000,2,小型汽车,苏N35***,丰田
F120300109071162300,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 20:01:20,1704542480000,1,大型汽车,鲁EF1***,一汽
F120300109071162800,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 20:01:25,1704542485000,1,大型汽车,鲁UP9***,未知
F120300109071163568,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-06 20:01:27,1704542487000,2,小型汽车,苏C0J***,一汽
F120300109071163156,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-06 20:01:27,1704542487000,52,教练车,苏CDG***,丰田
F120300109071163244,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 20:01:29,1704542489000,1,大型汽车,鲁JA3***,夏利
