GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109036137512,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-02 00:00:22,1704124822000,02,小型汽车,苏CD5***,大众
G320300109036137455,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-02 00:00:22,1704124822000,02,小型汽车,苏CC9***,日产
G320300109036138299,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-02 00:00:59,1704124859000,02,小型汽车,皖FBV***,未知
G320300109036138816,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-02 00:01:08,1704124868000,01,大型汽车,鲁Q11***,未知
G320300109036138484,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-02 00:01:08,1704124868000,01,大型汽车,豫N50***,东风
G320300109036138386,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-02 00:01:11,1704124871000,02,小型汽车,鲁HF9***,现代
G320300109036138639,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2024-01-02 00:01:19,1704124879000,02,小型汽车,冀R44***,吉利
G320300109036138921,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-02 00:01:40,1704124900000,02,小型汽车,鲁R9E***,未知
G320300109036138942,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-02 00:01:40,1704124900000,52,教练车,苏NDD***,福特
G320300109036139107,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-02 00:01:45,1704124905000,52,教练车,苏CD8***,奇瑞
