GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109272161515,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-26 23:58:25,1706284705000,02,小型汽车,皖L91***,现代
G320300109272162169,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-26 23:58:42,1706284722000,02,小型汽车,皖LY1***,未知
G320300109272162508,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-26 23:58:53,1706284733000,02,小型汽车,苏CYE***,大通
G320300109272162680,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-26 23:58:59,1706284739000,02,小型汽车,苏CX8***,大众
G320300109272162815,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-26 23:59:02,1706284742000,52,教练车,苏CD7***,福特
G320300109272162915,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-26 23:59:07,1706284747000,01,大型汽车,苏GA9***,福田
G320300109272164444,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-26 23:59:26,1706284766000,02,小型汽车,苏N66***,别克
G320300109272163886,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-26 23:59:44,1706284784000,52,教练车,苏NDD***,福特
G320300109272163998,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-26 23:59:47,1706284787000,01,大型汽车,鲁Q09***,福田
G320300109272164290,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-26 23:59:56,1706284796000,02,小型汽车,苏G03***,大众
G320300109272165407,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2024-01-27 00:00:19,1706284819000,02,小型汽车,苏FX6***,北京
G320300109272165100,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-27 00:00:32,1706284832000,02,小型汽车,苏C51***,别克
G320300109272165133,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-27 00:00:32,1706284832000,01,大型汽车,鲁GW7***,福田
G320300109272165574,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2024-01-27 00:00:32,1706284832000,02,小型汽车,苏CF8***,荣威
G320300109272165267,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-27 00:00:39,1706284839000,02,小型汽车,苏C01***,雪佛兰
G320300109272165455,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-27 00:00:43,1706284843000,01,大型汽车,苏CLY***,依维柯
G320300109272166959,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-27 00:01:02,1706284862000,02,小型汽车,苏H98***,北京
G320300109272166000,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-27 00:01:07,1706284867000,02,小型汽车,苏C5S***,大众
G320300109272167214,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-27 00:01:12,1706284872000,02,小型汽车,苏C7X***,奥迪
G320300109272166449,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-27 00:01:17,1706284877000,01,大型汽车,苏CKF***,未知
G320300109272166281,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-27 00:01:17,1706284877000,01,大型汽车,鲁Q71***,一汽
G320300109272166796,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-27 00:01:36,1706284896000,02,小型汽车,苏C40***,英菲尼迪
G320300109272168319,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-27 00:01:50,1706284910000,01,大型汽车,冀EW6***,未知
G320300109272167728,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-27 00:02:10,1706284930000,01,大型汽车,苏CMT***,一汽
G320300109272168211,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-27 00:02:23,1706284943000,01,大型汽车,鲁Q85***,未知
G320300109272169379,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-27 00:02:30,1706284950000,01,大型汽车,鲁RF9***,福特
G320300109272169365,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-27 00:02:30,1706284950000,01,大型汽车,鲁RF9***,依维柯
G320300109272169388,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-27 00:03:10,1706284990000,52,教练车,苏CFK***,奇瑞
G320300109272170776,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-27 00:03:52,1706285032000,02,小型汽车,苏C5H***,未知
