GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109118156863,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-11 00:00:09,1704902409000,01,大型汽车,豫N25***,福田
G320300109118157356,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-11 00:00:40,1704902440000,01,大型汽车,苏NFG***,夏利
G320300109118157567,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-11 00:00:45,1704902445000,01,大型汽车,苏CRE***,未知
G320300109118157462,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-11 00:00:48,1704902448000,01,大型汽车,皖F85***,通家福
G320300109118157689,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-11 00:00:53,1704902453000,02,小型汽车,苏CE8***,未知
G320300109118157860,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-11 00:00:59,1704902459000,02,小型汽车,苏C95***,未知
G320300109118157808,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2024-01-11 00:01:01,1704902461000,02,小型汽车,苏C06***,宝沃
G320300109118158328,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-11 00:01:26,1704902486000,02,小型汽车,苏C9N***,大众
G320300109118158358,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-11 00:01:28,1704902488000,01,大型汽车,鲁CR5***,众泰
G320300109118158759,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-11 00:01:47,1704902507000,01,大型汽车,鲁Q99***,一汽
G320300109118158969,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-11 00:01:50,1704902510000,01,大型汽车,鲁Q01***,中通
G320300109118158878,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-11 00:01:51,1704902511000,01,大型汽车,鲁Q89***,未知
G320300109118159107,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-11 00:02:02,1704902522000,01,大型汽车,鲁Q96***,未知
G320300109118159291,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-11 00:02:12,1704902532000,02,小型汽车,苏C33***,现代
G320300109118160333,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-11 00:02:24,1704902544000,02,小型汽车,皖L90***,一汽
G320300109118160320,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-11 00:02:24,1704902544000,02,小型汽车,皖L90***,依维柯
