GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109098927675,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-09 00:00:00,1704729600000,01,大型汽车,皖L92***,福特
G320300109098927921,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-09 00:00:14,1704729614000,01,大型汽车,鲁LE5***,江淮
G320300109098928652,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-09 00:00:19,1704729619000,01,大型汽车,冀AY8***,金杯
G320300109098928664,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-09 00:00:19,1704729619000,01,大型汽车,冀AY8***,英致
G320300109098928185,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-09 00:00:28,1704729628000,52,教练车,云CDF***,未知
G320300109098928208,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-09 00:00:28,1704729628000,01,大型汽车,冀J1A***,北京
G320300109098928988,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-09 00:00:32,1704729632000,01,大型汽车,鲁H57***,一汽
G320300109098928360,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-09 00:00:34,1704729634000,02,小型汽车,苏N6R***,荣威
G320300109098928324,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-09 00:00:34,1704729634000,01,大型汽车,豫K92***,北京
G320300109098928511,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-09 00:00:35,1704729635000,01,大型汽车,晋LM8***,未知
G320300109098928812,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2024-01-09 00:00:54,1704729654000,01,大型汽车,皖LE4***,未知
