Date,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14,Recent_Mean,Recent_Max,Recent_Trend,Hist_Same_Mean,Hist_Same_Std,Hour,DayOfWeek,DayOfMonth,IsWeekend,Target_1Day
2023-12-08,4.0,30.0,4.0,29.0,3.0,26.0,7.0,34.0,5.0,1.0,1.0,30.0,9.0,24.0,14.447916666666666,44.0,-0.010416666666666666,4.714285714285714,2.4327694808466287,0,4,8,0,3136.0
2023-12-09,4.0,29.0,3.0,26.0,7.0,34.0,5.0,1.0,1.0,30.0,9.0,24.0,9.0,12.0,10.88888888888889,40.0,-0.024305555555555556,5.428571428571429,2.821202522590214,0,5,9,1,1588.0
2023-12-10,3.0,26.0,7.0,34.0,5.0,1.0,1.0,30.0,9.0,24.0,9.0,12.0,5.0,4.0,5.513888888888889,41.0,0.006944444444444444,5.571428571428571,2.7701027756664733,0,6,10,1,1662.0
2023-12-11,7.0,34.0,5.0,1.0,1.0,30.0,9.0,24.0,9.0,12.0,5.0,4.0,6.0,1.0,5.770833333333333,32.0,-0.006944444444444444,6.0,2.5634797778466227,0,0,11,0,2726.0
2023-12-12,5.0,1.0,1.0,30.0,9.0,24.0,9.0,12.0,5.0,4.0,6.0,1.0,4.0,9.0,9.465277777777779,43.0,0.0,5.571428571428571,2.610809554642438,0,1,12,0,1039.0
2023-12-13,1.0,30.0,9.0,24.0,9.0,12.0,5.0,4.0,6.0,1.0,4.0,9.0,4.0,1.0,3.607638888888889,43.0,-0.013888888888888888,5.428571428571429,2.6649654437396615,0,2,13,0,2771.0
2023-12-14,9.0,24.0,9.0,12.0,5.0,4.0,6.0,1.0,4.0,9.0,4.0,1.0,3.0,12.0,9.621527777777779,41.0,-0.006944444444444444,5.714285714285714,2.2497165354319457,0,3,14,0,2740.0
2023-12-15,9.0,12.0,5.0,4.0,6.0,1.0,4.0,9.0,4.0,1.0,3.0,12.0,3.0,16.0,9.51388888888889,32.0,-0.010416666666666666,4.857142857142857,1.9587584572574412,0,4,15,0,591.0
2023-12-16,5.0,4.0,6.0,1.0,4.0,9.0,4.0,1.0,3.0,12.0,3.0,16.0,3.0,1.0,2.0520833333333335,22.0,-0.003472222222222222,4.0,1.0690449676496976,0,5,16,1,1351.0
2023-12-17,6.0,1.0,4.0,9.0,4.0,1.0,3.0,12.0,3.0,16.0,3.0,1.0,1.0,1.0,4.690972222222222,32.0,0.006944444444444444,3.4285714285714284,1.3997084244475304,0,6,17,1,1630.0
2023-12-18,4.0,9.0,4.0,1.0,3.0,12.0,3.0,16.0,3.0,1.0,1.0,1.0,1.0,1.0,5.659722222222222,29.0,0.0,2.7142857142857144,1.1605769149479943,0,0,18,0,2726.0
2023-12-19,4.0,1.0,3.0,12.0,3.0,16.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,9.465277777777779,43.0,0.0,2.7142857142857144,1.1605769149479943,0,1,19,0,1039.0
2023-12-20,3.0,12.0,3.0,16.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,4.0,1.0,3.607638888888889,43.0,-0.013888888888888888,2.7142857142857144,1.1605769149479943,0,2,20,0,2771.0
2023-12-21,3.0,16.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,4.0,1.0,3.0,12.0,9.621527777777779,41.0,-0.006944444444444444,2.7142857142857144,1.1605769149479943,0,3,21,0,2740.0
2023-12-22,3.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,4.0,1.0,3.0,12.0,3.0,16.0,9.51388888888889,32.0,-0.010416666666666666,2.7142857142857144,1.1605769149479943,0,4,22,0,1768.0
2023-12-23,1.0,1.0,1.0,1.0,4.0,9.0,4.0,1.0,3.0,12.0,3.0,16.0,3.0,1.0,6.138888888888889,38.0,0.024305555555555556,2.7142857142857144,1.1605769149479943,0,5,23,1,1195.0
2023-12-24,1.0,1.0,4.0,9.0,4.0,1.0,3.0,12.0,3.0,16.0,3.0,1.0,4.0,1.0,4.149305555555555,32.0,0.003472222222222222,3.142857142857143,0.989743318610787,0,6,24,1,910.0
2023-12-25,4.0,9.0,4.0,1.0,3.0,12.0,3.0,16.0,3.0,1.0,4.0,1.0,2.0,1.0,3.1597222222222223,27.0,0.0,3.2857142857142856,0.6998542122237652,0,0,25,0,1614.0
2023-12-26,4.0,1.0,3.0,12.0,3.0,16.0,3.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,5.604166666666667,36.0,0.0,3.4285714285714284,0.9035079029052513,0,1,26,0,1209.0
2023-12-27,3.0,12.0,3.0,16.0,3.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,5.0,2.0,4.197916666666667,26.0,-0.003472222222222222,3.5714285714285716,1.049781318335648,0,2,27,0,1105.0
