GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
F70300108907154787,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:00:03,1703952003000,01,大型汽车,鲁JC6***,一汽
F70300108907155183,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2023-12-31 00:00:23,1703952023000,02,小型汽车,苏CG9***,未知
F70300108907155798,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2023-12-31 00:00:59,1703952059000,02,小型汽车,苏CT1***,奔驰
F70300108907155793,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2023-12-31 00:01:00,1703952060000,02,小型汽车,苏A10***,未知
F70300108907156561,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:01:50,1703952110000,01,大型汽车,鲁Q67***,一汽
F70300108907156671,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-31 00:01:56,1703952116000,未知,未知,苏CK0***,一汽
F70300108907156844,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:02:07,1703952127000,01,大型汽车,鲁AV2***,捷途
F70300108907156921,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:02:12,1703952132000,01,大型汽车,苏CMN***,东南
F70300108907157417,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-31 00:02:36,1703952156000,02,小型汽车,苏G65***,名爵
F70300108907158163,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-31 00:02:56,1703952176000,52,教练车,苏CDH***,领克
F70300108907157762,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:03:02,1703952182000,01,大型汽车,鲁Q69***,福田
F70300108907158307,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:03:36,1703952216000,01,大型汽车,鲁Q23***,福特
F70300108907158939,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-31 00:04:02,1703952242000,02,小型汽车,苏CP5***,五菱
F70300108907159318,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-31 00:04:28,1703952268000,01,大型汽车,皖LE4***,未知
F70300108907159634,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2023-12-31 00:04:30,1703952270000,02,小型汽车,苏C16***,东风
F70300108907160002,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-31 00:05:15,1703952315000,52,教练车,苏NDD***,现代
F70300108907160319,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:05:33,1703952333000,01,大型汽车,鲁PW9***,东风
F70300108907160924,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:06:06,1703952366000,01,大型汽车,皖LD1***,福田
F70300108907161090,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-31 00:06:14,1703952374000,01,大型汽车,鲁Q18***,未知
F70300108907161817,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-31 00:06:55,1703952415000,01,大型汽车,苏NAK***,福田
F70300108907162061,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:07:11,1703952431000,02,小型汽车,苏U76***,奇瑞
F70300108907162447,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-31 00:07:11,1703952431000,未知,未知,鲁D58***,红星
F70300108907162864,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2023-12-31 00:07:54,1703952474000,02,小型汽车,鲁D01***,金杯
F70300108907163728,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-31 00:08:47,1703952527000,02,小型汽车,苏N37***,别克
F70300108907164551,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-31 00:09:17,1703952557000,01,大型汽车,苏CF9***,未知
F70300108907164338,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-31 00:09:19,1703952559000,02,小型汽车,苏C3X***,未知
F70300108907164344,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-31 00:09:26,1703952566000,02,小型汽车,苏CZ8***,宝马
F70300108907164332,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:09:27,1703952567000,01,大型汽车,鲁Q26***,东风
F70300108907164397,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-31 00:09:29,1703952569000,02,小型汽车,苏CJ7***,东风
F70300108907164394,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2023-12-31 00:09:30,1703952570000,02,小型汽车,苏L09***,未知
F70300108907164523,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:09:38,1703952578000,01,大型汽车,鲁Q88***,福田
F70300108907164566,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:09:40,1703952580000,01,大型汽车,鲁JB5***,三菱
F70300108907165093,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-31 00:09:47,1703952587000,01,大型汽车,鲁DE9***,汉江
F70300108907165198,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-31 00:10:12,1703952612000,01,大型汽车,苏CHJ***,春洲
F70300108907165193,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:10:16,1703952616000,01,大型汽车,鲁Q06***,福特
F70300108907165665,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:10:41,1703952641000,01,大型汽车,苏CQH***,传祺
F70300108907165723,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-31 00:10:44,1703952644000,02,小型汽车,鲁Q82***,传祺
