GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
F10300108866851752,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-12 00:00:23,1702310423000,02,小型汽车,冀A81***,东风
F10300108866851617,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-12 00:00:28,1702310428000,02,小型汽车,苏CB5***,五菱
F10300108866851625,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:00:30,1702310430000,01,大型汽车,苏C3T***,福田
F10300108866851763,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:00:39,1702310439000,01,大型汽车,鲁Q83***,福田
F10300108866852436,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:01:33,1702310493000,01,大型汽车,苏CGC***,奥迪
F10300108866852559,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-12 00:01:34,1702310494000,02,小型汽车,苏C12***,未知
F10300108866852528,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-12 00:01:36,1702310496000,01,大型汽车,苏GP2***,福田
F10300108866852604,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-12 00:01:45,1702310505000,02,小型汽车,皖LNB***,未知
F10300108866852922,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-12 00:01:47,1702310507000,01,大型汽车,苏CMP***,东风
F10300108866852761,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:01:55,1702310515000,01,大型汽车,鲁Q76***,未知
F10300108866852854,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:02:00,1702310520000,01,大型汽车,鲁Q35***,未知
F10300108866853335,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:02:37,1702310557000,01,大型汽车,苏CKG***,汉江
F10300108866853386,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:02:41,1702310561000,01,大型汽车,豫NM9***,宝马
F10300108866853662,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-12 00:02:44,1702310564000,01,大型汽车,苏CLS***,福田
F10300108866853892,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-12 00:03:11,1702310591000,02,小型汽车,苏CE1***,吉利
F10300108866854240,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-12 00:03:26,1702310606000,01,大型汽车,鲁H18***,一汽
F10300108866854228,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:03:41,1702310621000,01,大型汽车,皖C24***,宝马
F10300108866854273,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-12 00:03:43,1702310623000,01,大型汽车,苏CJN***,一汽
F10300108866854514,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:04:06,1702310646000,01,大型汽车,鲁Q02***,福田
F10300108866854562,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:04:10,1702310650000,01,大型汽车,皖LG4***,五十铃
F10300108866854895,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-12 00:04:36,1702310676000,01,大型汽车,鲁H70***,未知
F10300108866855182,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-12 00:04:52,1702310692000,02,小型汽车,苏NL5***,东风
F10300108866855526,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-12 00:05:22,1702310722000,02,小型汽车,苏C1B***,北京
F10300108866855571,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-12 00:05:26,1702310726000,02,小型汽车,苏CH5***,江淮
F10300108866855614,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-12 00:05:28,1702310728000,02,小型汽车,苏C6X***,未知
F10300108866855984,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-12 00:05:58,1702310758000,02,小型汽车,苏C57***,现代
F10300108866856353,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-12 00:06:27,1702310787000,02,小型汽车,苏NR3***,大众
F10300108866856441,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:06:43,1702310803000,01,大型汽车,鲁CN1***,宝马
F10300108866856547,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-12 00:06:45,1702310805000,01,大型汽车,豫NX3***,云度
F10300108866856511,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:06:50,1702310810000,01,大型汽车,鲁Q58***,一汽
F10300108866856559,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:06:54,1702310814000,01,大型汽车,皖L29***,一汽
F10300108866856833,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2023-12-12 00:07:11,1702310831000,未知,未知,苏D38***,未知
F10300108866857082,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-12 00:07:17,1702310837000,01,大型汽车,苏CJT***,未知
F10300108866856886,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2023-12-12 00:07:20,1702310840000,02,小型汽车,苏C77***,大众
F10300108866856890,铜山县,G206,K816,PROVINCE,江苏-安徽,苏皖界,G206-K816-省际卡口,1,2023-12-12 00:07:22,1702310842000,02,小型汽车,苏C32***,未知
F10300108866857383,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-12 00:07:43,1702310863000,01,大型汽车,鲁H50***,福田
F10300108866857670,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-12 00:08:08,1702310888000,02,小型汽车,豫GB8***,海马
F10300108866857749,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-12 00:08:13,1702310893000,02,小型汽车,苏CW6***,大众
F10300108866857556,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:08:13,1702310893000,01,大型汽车,鲁Q77***,福田
F10300108866857716,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-12 00:08:20,1702310900000,02,小型汽车,苏CZ2***,长城
F10300108866858005,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2023-12-12 00:08:50,1702310930000,02,小型汽车,苏C35***,比亚迪
F10300108866858042,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:08:51,1702310931000,01,大型汽车,鲁Q81***,福特
F10300108866858068,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:08:57,1702310937000,01,大型汽车,皖C94***,未知
F10300108866858192,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:09:08,1702310948000,01,大型汽车,鲁QH5***,未知
F10300108866858197,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-12 00:09:10,1702310950000,02,小型汽车,苏UD6***,本田
F10300108866858211,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:09:11,1702310951000,02,小型汽车,苏C06***,传祺
F10300108866858509,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-12 00:09:24,1702310964000,01,大型汽车,苏NGH***,东风
F10300108866858670,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-12 00:09:27,1702310967000,02,小型汽车,豫EJN***,奥迪
F10300108866858546,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:09:33,1702310973000,01,大型汽车,鲁Q46***,通家福
F10300108866858577,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-12 00:09:35,1702310975000,02,小型汽车,苏C9Z***,未知
F10300108866858744,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-12 00:09:47,1702310987000,02,小型汽车,鲁BE5***,红旗
F10300108866859001,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:10:00,1702311000000,01,大型汽车,苏CPE***,奥迪
F10300108866858920,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-12 00:10:04,1702311004000,未知,未知,鲁Q85***,一汽
F10300108866859005,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-12 00:10:07,1702311007000,02,小型汽车,苏CQ7***,大众
F10300108866858976,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-12 00:10:08,1702311008000,01,大型汽车,苏CSW***,福田
